-3218.41,2456.38,-4459.48,0.00,1.00,0.00
-1614.41,1732.68,-4253.41,0.00,1.00,0.00
-309.57,-244.52,-2388.79,0.00,1.00,0.00
417.68,-568.27,-1866.68,0.00,1.00,0.00
1120.59,-844.75,-2296.55,0.00,1.00,0.00
1087.74,-988.74,-2857.63,0.00,1.00,0.00
616.38,-1151.35,-3169.90,0.00,1.00,0.00
-33.09,-1195.43,-3017.92,0.00,1.00,0.00
-248.01,-1121.79,-2512.10,0.00,1.00,0.00
41.09,-946.97,-1570.10,0.00,1.00,0.00
606.75,-1097.96,-555.90,0.00,1.00,0.00
451.99,-1196.85,418.15,0.00,1.00,0.00
-123.63,-1029.96,724.22,0.00,1.00,0.00
-600.16,-863.66,352.18,0.00,1.00,0.00
-621.20,-663.49,-136.29,0.00,1.00,0.00
-317.80,-519.07,-399.05,0.00,1.00,0.00
37.20,-391.79,-435.37,0.00,1.00,0.00
425.78,-305.78,-181.16,0.00,1.00,0.00
598.29,-333.55,350.19,0.00,1.00,0.00
337.31,-492.43,926.42,0.00,1.00,0.00
-371.34,-511.10,1253.66,0.00,1.00,0.00
-1074.61,-613.24,991.71,0.00,1.00,0.00
-1296.81,-570.22,308.65,0.00,1.00,0.00
-854.74,-305.84,-530.43,0.00,1.00,0.00
-1118.22,-379.96,-1297.55,0.00,1.00,0.00
-1823.16,-278.12,-1536.59,0.00,1.00,0.00
-2672.45,-846.55,-930.13,0.00,1.00,0.00
-3075.04,-1298.96,-178.13,0.00,1.00,0.00
-3061.27,-799.97,1403.33,0.00,1.00,0.00
-2347.68,-896.07,2052.08,0.00,1.00,0.00
-1378.07,-435.41,2027.60,0.00,1.00,0.00
-1094.86,-226.69,1621.42,0.00,1.00,0.00
-1085.23,-137.91,1162.36,0.00,1.00,0.00
-1448.00,-151.94,625.72,0.00,1.00,0.00
-1916.91,-134.38,440.04,0.00,1.00,0.00
-2854.90,-109.56,428.47,0.00,1.00,0.00
-3648.85,-134.57,792.28,0.00,1.00,0.00
-4029.49,-110.17,1487.44,0.00,1.00,0.00
-3718.90,98.03,2092.16,0.00,1.00,0.00
-2570.58,211.71,2696.54,0.00,1.00,0.00
-1850.52,645.01,2475.77,0.00,1.00,0.00
-1254.78,688.06,1989.79,0.00,1.00,0.00
-1382.49,972.54,1067.18,0.00,1.00,0.00
-2037.75,1284.96,263.16,0.00,1.00,0.00
-2941.84,1332.46,-292.53,0.00,1.00,0.00
-3814.04,1280.50,-579.61,0.00,1.00,0.00
-4598.78,1656.23,-1155.81,0.00,1.00,0.00
-4833.32,2005.99,-1815.39,0.00,1.00,0.00
-4790.02,2438.30,-2736.67,0.00,1.00,0.00
-4110.68,2672.42,-3893.16,0.00,1.00,0.00
